Employee ID,Name,Contact Number,Start Date,End Date,Location,Working Mode,Hours,Stipend,College,Degree,Email,Bank Name,Branch Name,Account Holder Name,Account Number,Account Type,IFSC Code,MICR Code,Bank Address,UPI ID,Offer Letter Sent,Offer Letter Signed,Form Filled,LinkedIn Post,LinkedIn Follow,Instagram Follow,Google Review,Certificate Issued,LOR Issued,Document Date,Planning to Study Abroad,Year,Department,Role
HW0001,Veer Bora,6567807429,21-05-2025,,Chennai,Hybrid,40,24893,BITS Pilani,B.Tech,ljohal@karan-balasubramanian.com,ICICI,Shahjahanpur,Veer Bora,95223866101,Current,ICIC9032613,36240316,"19/134, Devan Ganj, Farrukhabad 005623",veer1769@upi,1,0,0,1,1,0,1,1,0,06-04-2025,No,2023,Data Science,Trainee
HW0002,Jayant Swaminathan,6725059244,25-02-2025,,Bangalore,Remote,30,10984,Anna University,B.Sc,ojas40@hotmail.com,Kotak Mahindra,Aurangabad,Jayant Swaminathan,16290493022,Current,KOTA3533668,516209193,"00/887, Ganesan Street, Mau 288118",jayant1035@upi,0,0,0,1,0,1,1,1,0,01-04-2025,Yes,2024,Finance,Analyst
HW0003,Onkar Dugar,6040305400,18-01-2025,,Pune,Hybrid,30,14796,Delhi University,B.Sc,manikyawadhwa@yahoo.com,Kotak Mahindra,Bahraich,Onkar Dugar,17242956964,Savings,KOTA6257358,590781511,"71/528, Sarin Street, Indore 584673",onkar6341@upi,0,0,0,0,0,1,0,1,0,11-04-2025,No,2025,Development,Associate
HW0004,Zaina Kapur,7657852339,27-11-2024,,Pune,Hybrid,40,20642,NIT Trichy,BCA,pranay93@gmail.com,Kotak Mahindra,Ajmer,Zaina Kapur,90325740837,Current,KOTA4800618,433608616,"H.No. 272, Bhatia Street, Sambhal 718342",zaina8178@upi,1,1,1,1,1,1,1,1,0,03-01-2025,Yes,2024,Design,Associate
HW0005,Kashvi Dyal,6523476723,29-10-2024,,Hyderabad,Remote,40,23906,BITS Pilani,MCA,taimur48@rao-jaggi.info,HDFC,Coimbatore,Kashvi Dyal,40765955083,Savings,HDFC6920981,324776761,"H.No. 363, Kashyap Circle, Serampore-258238",kashvi3037@upi,0,0,0,0,1,1,0,0,0,21-01-2025,Yes,2023,HR,Trainee
HW0006,Lakshay Bakshi,6342564693,17-06-2024,,Hyderabad,Onsite,20,12200,Anna University,M.Tech,elakshiraman@hotmail.com,Kotak Mahindra,Kollam,Lakshay Bakshi,80972300145,Current,KOTA7713556,375219168,"H.No. 291, Kapadia Ganj, Bhilwara-720616",lakshay8432@upi,1,1,1,1,1,0,1,0,0,22-02-2025,No,2024,Data Science,Trainee
HW0007,Indrajit Subramanian,6246030502,22-11-2024,,Chennai,Hybrid,40,17772,NIT Trichy,MBA,zeeshan41@yahoo.com,SBI,Nagaon,Indrajit Subramanian,79183334851,Savings,SBI1076128,254872226,"91/285, Thaman Nagar, Ulhasnagar-119706",indrajit5443@upi,1,1,0,1,0,0,0,0,0,24-02-2025,Yes,2023,Data Science,Associate
HW0008,Gatik Sehgal,9182990896,21-10-2024,05-12-2024,Delhi,Onsite,40,22771,BITS Pilani,MBA,manneprisha@gmail.com,Axis,Bidar,Gatik Sehgal,28375238456,Savings,AXIS2332742,898918513,"09, Mand Road, Lucknow-776074",gatik4755@upi,0,1,1,1,1,0,0,1,0,02-02-2025,Yes,2025,Marketing,Intern
HW0009,Ryan Wali,9729801920,05-07-2024,11-09-2024,Hyderabad,Remote,30,19634,BITS Pilani,MBA,singhyashvi@dhillon.com,SBI,Dehradun,Ryan Wali,43842707782,Current,SBI1338215,11292985,"69/482, Sahni Street, Tiruchirappalli 752216",ryan6453@upi,0,1,0,0,0,0,1,1,0,07-03-2025,No,2025,HR,Intern
HW0010,Aarush Mander,9056278370,28-11-2024,,Hyderabad,Hybrid,30,8899,IIT Bombay,MBA,gokul66@chaudhuri.com,Bank of Baroda,Rampur,Aarush Mander,32235367159,Current,BANK2452654,544141198,"65/179, Bhatti Road, Kamarhati 422356",aarush4113@upi,0,1,0,0,1,0,0,1,1,05-03-2025,No,2025,Development,Associate
HW0011,Azad Suresh,8647643993,25-04-2025,,Chennai,Hybrid,20,18087,BITS Pilani,MCA,ltoor@gmail.com,HDFC,Ahmednagar,Azad Suresh,38180878384,Current,HDFC3188882,297452323,"H.No. 265, Chaudhry Marg, Latur-158815",azad7884@upi,0,1,0,0,0,0,1,0,0,06-01-2025,Yes,2025,Design,Associate
HW0012,Yakshit Khatri,9594456089,10-10-2024,,Chennai,Remote,40,10484,Anna University,MCA,hazelvaidya@sundaram-sur.info,ICICI,Warangal,Yakshit Khatri,30227171876,Savings,ICIC4932995,515263671,"400, Gera Path, Danapur-425009",yakshit2503@upi,0,1,1,1,0,0,0,0,1,16-01-2025,Yes,2023,Data Science,Associate
HW0013,Arnav Batta,9382965740,28-07-2024,11-09-2024,Hyderabad,Remote,30,15256,IIT Bombay,MCA,pranay98@hotmail.com,HDFC,Siliguri,Arnav Batta,51488680030,Savings,HDFC9881234,795577566,"640, Wable Marg, Jabalpur 902568",arnav9615@upi,1,0,0,0,0,1,0,1,1,01-03-2025,No,2025,Development,Intern
HW0014,Badal Jain,7247236290,10-04-2025,,Pune,Onsite,40,19615,BITS Pilani,B.Tech,piya78@gmail.com,Axis,Raiganj,Badal Jain,40703713969,Savings,AXIS2228003,417900272,"H.No. 53, Vaidya Circle, Vellore-534685",badal3645@upi,1,0,0,0,0,1,1,0,1,22-02-2025,Yes,2024,Data Science,Analyst
HW0015,Amani Jha,9375300354,02-12-2024,20-02-2025,Chennai,Onsite,40,7610,IIT Bombay,B.Sc,contractordivyansh@srinivasan.com,Bank of Baroda,Tiruchirappalli,Amani Jha,42661262928,Savings,BANK8275177,260539974,"H.No. 42, Mani Chowk, Kharagpur-836223",amani7263@upi,0,1,0,0,1,1,1,0,1,14-04-2025,No,2025,Data Science,Intern
HW0016,Eshani Yogi,9406030973,17-04-2025,,Mumbai,Onsite,20,11957,Anna University,BCA,gatik40@gmail.com,Bank of Baroda,Bijapur,Eshani Yogi,38751864637,Current,BANK5847275,482775949,"H.No. 66, Subramanian Road, Deoghar 013514",eshani8873@upi,0,1,0,1,1,0,1,1,0,22-02-2025,Yes,2023,HR,Associate
HW0017,Tanya Bajaj,6581589805,27-04-2025,15-06-2025,Delhi,Onsite,20,17273,Delhi University,MBA,adira53@gara.net,Axis,Kota,Tanya Bajaj,92489112100,Savings,AXIS2972479,786316320,"H.No. 18, Lal Ganj, Davanagere 915413",tanya4376@upi,0,0,1,0,1,0,0,0,0,06-01-2025,Yes,2025,HR,Intern
